channel_id,last_date,status
UCwAJ_mVWTWU0jFLHRlfLAhA,2019-12-20 21:06:34,to do
UCSunsydIJNW2JBjU2QZYkwA,2019-12-20 21:06:34,to do
UC4Sn2q1A9RV7EHSzjJZnk8Q,2019-12-20 21:04:36,to do
UCHrrDOCkcgCU7bBB5rAPFSA,2019-12-20 21:12:25,to do
UCQvs4zAj48g4n_9i0cuD-cw,2019-12-20 21:12:25,to do
UCALGg4VcC36O70GP3XBQrxA,2019-12-20 21:12:25,to do
UCAEFsTQUPVpoXJRo7iSWgng,2019-12-20 21:29:15,to do
UCFAsctfC-qqbPuvyYR17I_w,2019-12-20 21:31:14,to do
UCk_lbOqvOO-Z-8Ymxa_XzFg,2019-12-20 21:33:14,to do
UCCDJsSKRHcA_D-nmX8dT7YA,2019-12-20 21:33:14,to do
UCRlYRTYsqslzB_PKJeKi4dg,2019-12-20 21:57:29,to do
UCW0Jm-m1_LgNtqYNWxpoblQ,2019-12-20 21:57:29,to do
UCi8sW5NhPPiQsja_laI7yvA,2019-12-20 21:59:30,to do
UCKj7XzZ6gNUrjwVDn1-xuYg,2019-12-20 22:01:31,to do
UCAkHQJ99UaZ5Kucq4XPaqBA,2019-12-20 22:01:31,to do
UCHb33m_ruaNEUB166q9o8EQ,2019-12-20 22:11:53,to do
UC4B78H_dx6EvzvtPXCP5hig,2019-12-20 22:18:03,to do
UCjK_fR_HdLX_K80SlbcsKrw,2019-12-20 22:18:03,to do
UCk2EIkW1FePZztFh3Xt34Bg,2019-12-20 22:24:14,to do
UCE3qZH8ltYwmQDmm5uinPXw,2019-12-20 22:32:30,to do
UCnkB37UCrAXVmYfqavACSZA,2019-12-20 22:36:37,to do
UCnWbGwVH37SrDlbfDPHjVSQ,2019-12-21 09:10:44,to do
UC4mkVwDXnKxAHOdqPaKuUCw,2019-12-21 09:42:46,to do
UCTPUL6Sgd2HRVrwhp5AdoFg,2019-12-21 09:44:56,to do
UCjMtc3v7g-jrAquecbt7OyA,2019-12-21 09:51:29,to do
UCi4CBfPaKm4jwnxLQi3yEyw,2019-12-21 09:51:29,to do
UCVq8uIQbfiDz1_kb3toVGMA,2019-12-21 09:58:01,to do
